record_id,visit_location,auditor_score,surveyor_score,employee_name,phone_number,email,address,province_name,town_name,position
53182,AkRu04116,3,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
50239,AmPw12272,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
59640,SoRu37524,3,10,"Enitan Zuri",+99248509202,enitan.zuri@ndogowater.gov,"117 Kampala Road",Hawassa,Zanzibar,"Field Surveyor"
40443,AmRu14691,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
5645,KiRu29556,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
57038,KiZu30847,9,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
25387,AkHa00363,0,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
3296,SoBa31761,2,10,"Makena Thabo",+99690308755,makena.thabo@ndogowater.gov,"81 Rhodes Street",Hawassa,Rural,"Field Surveyor"
16159,SoKo33094,0,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
26260,HaSe21323,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
17086,AmDa11466,1,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
7867,HaRu17038,2,10,"Jengo Tumaini",+99820596465,jengo.tumaini@ndogowater.gov,"17 Port Harcourt Boulevard",Akatsi,Kintampo,"Field Surveyor"
38102,KiRu27364,0,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
12705,AkRu05880,7,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
251,KiRu29696,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
29772,KiRu27065,0,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
50918,AkRu07426,3,10,"Rudo Imani",+99046972648,rudo.imani@ndogowater.gov,"15 Lake Malawi Avenue",Kilimani,Ilanga,"Field Surveyor"
3154,AmAs10124,6,10,"Farai Nia",+99570082739,farai.nia@ndogowater.gov,"33 Angélique Kidjo Avenue",Amanzi,Dahabu,"Field Surveyor"
32555,HaRu18142,2,10,"Thandiwe Kito",+99895654233,thandiwe.kito@ndogowater.gov,"106 Dakar Road",Hawassa,Zanzibar,"Field Surveyor"
32008,AkRu06284,3,10,"Rudo Imani",+99046972648,rudo.imani@ndogowater.gov,"15 Lake Malawi Avenue",Kilimani,Ilanga,"Field Surveyor"
54560,KiRu25347,2,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
42302,AmRu14364,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
31033,KiZu31100,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
15869,KiRu29537,2,10,"Makena Thabo",+99690308755,makena.thabo@ndogowater.gov,"81 Rhodes Street",Hawassa,Rural,"Field Surveyor"
49033,AkRu03973,3,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
56898,SoKo33333,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
55794,KiRu26688,2,10,"Rudo Imani",+99046972648,rudo.imani@ndogowater.gov,"15 Lake Malawi Avenue",Kilimani,Ilanga,"Field Surveyor"
3116,SoIl32575,1,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
26183,SoMa34366,9,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
16410,AkRu04935,3,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
25725,HaRu19244,2,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
7252,SoRu36708,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
37357,AkRu04508,1,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
43412,AkRu03848,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
24797,AkLu02500,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
37457,AkRu07310,9,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
58866,AkKi01267,9,10,"Enitan Zuri",+99248509202,enitan.zuri@ndogowater.gov,"117 Kampala Road",Hawassa,Zanzibar,"Field Surveyor"
47227,AmRu14245,9,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
49082,KiZu30932,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
8186,KiAm22092,9,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
3179,KiRu29147,0,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
26566,SoRu38045,9,10,"Pili Zola",+99822478933,pili.zola@ndogowater.gov,"46 Stone Town Street",Hawassa,Zanzibar,"Field Surveyor"
7548,SoIl32770,0,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
52429,HaDj16824,1,10,"Enitan Zuri",+99248509202,enitan.zuri@ndogowater.gov,"117 Kampala Road",Hawassa,Zanzibar,"Field Surveyor"
45008,KiRu29639,1,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
11962,KiRu29329,0,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
21392,AkHa00311,9,10,"Usafi Ayo",+99613194771,usafi.ayo@ndogowater.gov,"76 Kenyatta Street",Sokoto,Rural,"Field Surveyor"
23328,KiMr24919,1,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
23715,HaRu20005,1,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
3841,AmRu14113,2,10,"Yewande Ebele",+99239164858,yewande.ebele@ndogowater.gov,"119 Moroni Avenue",Hawassa,Rural,"Field Surveyor"
34833,AkKi01256,1,10,"Farai Nia",+99570082739,farai.nia@ndogowater.gov,"33 Angélique Kidjo Avenue",Amanzi,Dahabu,"Field Surveyor"
3351,SoRu36101,3,10,"Enitan Zuri",+99248509202,enitan.zuri@ndogowater.gov,"117 Kampala Road",Hawassa,Zanzibar,"Field Surveyor"
17929,SoRu39544,0,10,"Gamba Shani",+99438283153,gamba.shani@ndogowater.gov,"38 Mlima Tazama Avenue",Hawassa,Rural,"Field Surveyor"
28869,AkHa00053,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
57001,HaSe20888,9,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
20163,SoRu38401,2,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
23126,AmRu14223,1,10,"Deka Osumare",+99379364631,deka.osumare@ndogowater.gov,"104 Kenyatta Street",Akatsi,Rural,"Field Surveyor"
31028,AmRu14887,9,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
49443,AkRu02789,2,10,"Farai Nia",+99570082739,farai.nia@ndogowater.gov,"33 Angélique Kidjo Avenue",Amanzi,Dahabu,"Field Surveyor"
36818,HaRu20146,2,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
19961,AkRu05741,3,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
18443,KiMr24359,2,10,"Ona Sefu",+99797494944,ona.sefu@ndogowater.gov,"67 Wimbi Dira Avenue",Akatsi,Harare,"Field Surveyor"
5889,AkKi00847,3,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
55949,HaRu19621,3,10,"Yewande Ebele",+99239164858,yewande.ebele@ndogowater.gov,"119 Moroni Avenue",Hawassa,Rural,"Field Surveyor"
28729,HaYa21395,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
3233,AkRu03245,2,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
33833,HaRu20544,1,10,"Lalitha Kaburi",+99681623240,lalitha.kaburi@ndogowater.gov,"145 Sungura Amanpour Road",Kilimani,Rural,"Field Surveyor"
1556,AmRu14959,9,10,"Gamba Shani",+99438283153,gamba.shani@ndogowater.gov,"38 Mlima Tazama Avenue",Hawassa,Rural,"Field Surveyor"
47474,KiRu30640,2,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
24867,SoMa34211,1,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
44282,SoRu38535,0,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
11097,SoRu36566,3,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
293,AmAs10336,3,10,"Xola Uzuri",+99239172440,xola.uzuri@ndogowater.gov,"50 Enkare Narok Avenue",Amanzi,Dahabu,"Field Surveyor"
34822,AmRu15719,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
39250,AkRu08640,3,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
55271,AmRu13226,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
47831,AmPw12480,5,10,"Zuriel Matembo",+99034075111,zuriel.matembo@ndogowater.gov,"26 Bahari Ya Faraja Road",Kilimani,Rural,"Field Surveyor"
47055,AmRu14842,2,10,"Bello Azibo",+99643864786,bello.azibo@ndogowater.gov,"129 Ziwa La Kioo Road",Kilimani,Rural,"Field Surveyor"
31888,AkRu03358,1,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
57735,AmRu13433,9,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
15929,AmAm09956,1,10,"Malachi Mavuso",+99945849900,malachi.mavuso@ndogowater.gov,"100 Mogadishu Road",Akatsi,Lusaka,"Field Surveyor"
